,wallet_name,network,wallet_address,balance_usd
0,ETH,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,3689118721.4397416
1,ETH,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,1979131360.661644
2,USDT,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,1399841441.1102316
3,BUSD,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1000022080.6453701
4,USDT,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,743073587.9152892
5,BUSD,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,600013248.387222
6,SHIB,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,328261592.825902
7,BUSD,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,300237434.2899344
8,ETH,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,295717630.97093976
9,ETH,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,262999443.52357796
10,MATIC,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,248206566.34576914
11,SHIB,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,247657121.1126895
12,TUSD,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,199801817.57797664
13,TUSD,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,189373903.7135041
14,LINK,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,187967886.93119693
15,LINK,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,176219893.9979971
16,BUSD,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,145943250.11999628
17,USDT,Ethereum,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,128587068.91836514
18,USDT,Ethereum,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,125493952.81308472
19,USDT,Ethereum,0x9696f59e4d72e237be84ffd425dcad154bf96976,120115299.61871235
20,USDT,Ethereum,0x21a31ee1afc51d94c2efccaa2092ad1028285549,116077280.44182643
21,GALA,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,108578216.76486778
22,USDC,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,104340502.18656859
23,USDT,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,102268108.54537998
24,MATIC,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,95444212.25281282
25,USDC,Ethereum,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,89457826.88494338
26,MAV,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,83365673.36168697
27,DYDX,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,81499823.10705896
28,SAND,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,80466617.50010277
